# Signal Ledger v1 timestamp corrections — docs/SIGNAL-LEDGER.md §8.1 and §11.
#
# One line per ledger row that the pre-fix append path stored with PublishedAtUtc rounded to SQL
# datetime precision (1/300 s). CommittedPublishedAtUtc is the timestamp the row was hashed with,
# recovered from its EntryHash; the verifier requires every line to reproduce that hash exactly.
# The highest SeqNo listed is the §8.1 cutover: every later row must recompute exactly.
#
# APPEND-ONLY. Lines are generated, never typed: the SignalLedgerChain Supervisor check prints the
# exact lines for any legacy row not yet listed. Copy them in verbatim, in SeqNo order. Never edit or
# remove an existing line — a change here is as visible in git as a change to the ledger would be.
#
# Empty until the precision fix is deployed: rows keep arriving through the old append path until
# then, so the cutover is not known before that.
SeqNo,EntryHash,StoredPublishedAtUtc,CommittedPublishedAtUtc
1,2fc259c70fb567a3a427442d293d256988e1284cdfc6f41651d9e93b5a5eba34,2026-07-07T23:05:18.8666667Z,2026-07-07T23:05:18.8656615Z
2,4f3cfed05c97e20d1cc2cee352361a1b537df250dd38afff2fafb3c4b141a6b2,2026-07-08T23:06:09.0033333Z,2026-07-08T23:06:09.0020018Z
3,f519786293a440ff3f58ff6ee72297585a80b2981453fcb51d6c654b432f116c,2026-07-21T23:06:38.0566667Z,2026-07-21T23:06:38.0569491Z
4,8fae02e3bb3956a2da35732798f1a1051e5d51c7281805906270c8fc415dd440,2026-07-24T23:06:32.4766667Z,2026-07-24T23:06:32.4769198Z
5,e426531e9de2007ce03f603ecc66711022d77b57d984cc0a0d6f0f461a1f76b5,2026-07-26T12:06:34.6933333Z,2026-07-26T12:06:34.6934548Z
6,aac77565cb0fa8b72ceb58783741d3241cbba80ffe61d89c2c972642ab2ef6dd,2026-07-26T12:07:12.1433333Z,2026-07-26T12:07:12.1443405Z
7,74726c0545154c3dd31c9bd8c10a1eeaa6ff6fae8849062fd92ef0f40dfd214d,2026-07-27T23:06:04.2266667Z,2026-07-27T23:06:04.2262746Z
8,8650a7427edda96e598928de480fe1b942be7c5fef7a0e9f18b5fea545673e7d,2026-07-29T23:06:40.1833333Z,2026-07-29T23:06:40.1819941Z
9,ef37d5a806d0c225c1311493d9bebb4c8a7e7be2243d7bfc13ac534da4c7a61c,2026-07-29T23:06:53.5300000Z,2026-07-29T23:06:53.5312398Z
10,72c05faf78b62036791400fa44e324cab942ba245b359cbe10678c17d7ceed9d,2026-08-04T01:40:58.8466667Z,2026-08-04T01:40:58.8479748Z
11,f309eaf15f7ace7fa1c3a9c3e19f5f90e91c09bf2043177fa3d8100d89561b03,2026-08-04T01:41:47.6200000Z,2026-08-04T01:41:47.6206891Z
12,a8207d943146f221068475f63fd37143c07a05e5c5daadda3a6deaef5047365a,2026-08-04T01:42:13.4600000Z,2026-08-04T01:42:13.4611299Z
13,a6989cff96db6f6188151529d673009abf8a0915db771f385a8522604f46b175,2026-08-04T23:06:30.9133333Z,2026-08-04T23:06:30.9136854Z
14,85d03b55bb3898ce8cbb9ba5d9318532f11bcea713f40b40a2d5a383ce2fca2a,2026-08-05T23:06:27.2166667Z,2026-08-05T23:06:27.2155371Z
15,cf5048adb15e6524bb1d6838c24628d00c8b58b060631c831aeaad365291bfe9,2026-08-13T23:06:14.1733333Z,2026-08-13T23:06:14.1747948Z
16,5fdda29068c3de9ee5108aa2da05e774f5c308ecdc92183b6008e4ace4b593d9,2026-08-18T23:06:22.5166667Z,2026-08-18T23:06:22.5161820Z
17,a7cfd24ab6234d81288c9c1df0b9247645df355e6af662548f5008d0fd3e4050,2026-08-26T23:30:49.1166667Z,2026-08-26T23:30:49.1168269Z
18,246b6dd2298a285c2c21fddac3964426cfeb7f010dcf57ed9ceb40e85141ae91,2026-08-26T23:30:50.8600000Z,2026-08-26T23:30:50.8585364Z
